compliance_id,veh_name,market_class,fueling_class,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
Aston Martin Lagonda,composite vehicle (sedan_wagon.ICE.car.NO_ALT),sedan_wagon.ICE,ICE,1,-18.14424604,38.19360075,56.33784679,288.5214212,302.3214212,0,381.0990672,0,155359.4311,162611.5079,0,3731.902887,506.6342751,48.30419131
Aston Martin Lagonda,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1,23.28597824,37.65712731,14.37114908,73.59855927,-5,0.260599929,0,0.40551149,260979.72,265580.6335,109.726286,4963.647573,703.9877866,47.61904762
Aston Martin Lagonda,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1,26.79990057,41.4789552,14.67905463,75.17542726,-5,0.263360925,0,0.408873418,262609.032,266267.9514,110.8888104,5144.753721,729.67384,52.5
Aston Martin Lagonda,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-19.08883279,37.65712731,56.7459601,290.6114804,304.4114804,0,369.6691883,0,244180.4293,251691.1932,0,3888.139406,551.449839,47.61904762
Aston Martin Lagonda,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-16.83868132,37.65712731,54.49580864,279.0878433,292.8878433,0,360.6467335,0,244409.4997,251748.5718,0,3579.079184,507.6162229,47.61904762
Aston Martin Lagonda,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-10.65722724,37.65712731,48.31435455,247.4309373,261.2309373,0,349.2557029,0,245033.643,252155.951,0,3579.079184,507.6162229,47.61904762
Aston Martin Lagonda,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-7.240345754,37.65712731,44.89747307,229.9321589,243.7321589,0,341.5947632,0,245575.1423,252551.6674,0,3579.079184,507.6162229,47.61904762
Aston Martin Lagonda,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-4.416380108,41.4789552,45.89533531,235.0424825,248.8424825,0,345.9352741,0,247079.2345,253162.1663,0,3747.465647,531.4982596,52.5
Aston Martin Lagonda,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-1.872256251,41.4789552,43.35121145,222.013333,235.813333,0,330.9709171,0,248982.5769,254780.7463,0.384,3786.122573,536.980922,52.5
BMW,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1,26.33515549,36.35948152,10.02432603,51.33729737,-5,0.217558666,0,0.332806014,63134.80423,66975.58266,91.60364885,4704.029192,316.0043556,45.55904672
