,unibody,high_eff_alternator,start_stop,mhev,hev,hev_truck,deac_pd,deac_fc,cegr,atk2,gdi,turb12,turb11,gas_fuel,diesel_fuel,awd,fwd,trx10,trx11,trx12,trx21,trx22,ecvt,ice,fcv,phev,ac_leakage,ac_efficiency,powertrain_type,cs_ftp_1:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_2:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_3:cert_direct_oncycle_co2e_grams_per_mile,cs_hwfet:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_1:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_2:cert_direct_oncycle_co2e_grams_per_mile,engine_cylinders,engine_displacement_L,hev_batt_kwh,hev_motor_kw,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,onroad_direct_oncycle_co2e_grams_per_mile,onroad_direct_oncycle_kwh_per_mile,cert_direct_offcycle_co2e_grams_per_mile,cert_direct_offcycle_kwh_per_mile,cert_indirect_offcycle_co2e_grams_per_mile,nominal_onroad_direct_co2e_grams_per_mile,nominal_onroad_direct_kwh_per_mile,cert_direct_oncycle_co2e_grams_per_mile,cert_direct_oncycle_kwh_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,cert_indirect_co2e_grams_per_mile,cert_co2e_grams_per_mile,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,credits_co2e_Mg_per_vehicle,cost_curve_class,structure_mass_lbs,footprint_ft2,structure_material,curbweight_lbs,rated_hp,battery_kwh,motor_kw,vehicle_id,vehicle_base_year_id,vehicle_name,model_year,delta_glider_non_structure_mass_lbs,glider_non_structure_mass_lbs,battery_mass_lbs,powertrain_mass_lbs,etw_lbs,vehicle_eng_rated_hp,vehicle_mot_rated_kw,rlhp20,rlhp60,engine_cost,driveline_cost,emachine_cost,battery_cost,electrified_driveline_cost,tech_bundle,structure_cost,glider_non_structure_cost,new_vehicle_mfr_cost_dollars,powertrain_cost,new_vehicle_mfr_generalized_cost_dollars,frontier,bev,cd_ftp_1:cert_direct_oncycle_kwh_per_mile,cd_ftp_2:cert_direct_oncycle_kwh_per_mile,cd_ftp_3:cert_direct_oncycle_kwh_per_mile,cd_ftp_4:cert_direct_oncycle_kwh_per_mile,cd_hwfet:cert_direct_oncycle_kwh_per_mile,cd_us06_1:cert_direct_oncycle_kwh_per_mile,cd_us06_2:cert_direct_oncycle_kwh_per_mile,battery_sizing_onroad_direct_kwh_per_mile
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,471.58159365231325,544.9926088965146,411.3376000428024,305.9596403096612,599.4293213883201,328.8361500021678,6.457456217423213,7.170687636898236,0.0,0.0,389.41099676208773,0.0,389.41099676208773,0.0,5.0,0,13.8,389.41099676208773,0.0,408.86242827836554,0.0,403.86242827836554,0.0,0,390.06242827836553,35.64367652571429,76.16514999534677,-40.521473469632475,GDI_TRX10_SS0,777.402161904762,45.04761904761905,steel,3034.334477963773,545.869390722036,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,-52.81176388888891,1729.3099661111114,0.0,527.6223499478999,3334.334477963773,562.0,0.0,3.446450962869206,21.27421615218657,13474.051493851564,2746.957495003702,0.0,0.0,0.0,GDI_TRX10_SS0,3999.154864285714,190602.06763575933,210822.23148890032,16221.008988855267,214977.831499393,False,,,,,,,,,
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,479.3746760544057,555.2284524362947,418.1520385986088,309.601414406639,607.6945449771965,331.8936943363277,6.449655130585321,7.378387167071805,0.0,0.0,394.328635223186,0.0,394.328635223186,0.0,5.0,0,13.8,394.328635223186,0.0,415.3354625036099,0.0,410.3354625036099,0.0,0,396.5354625036099,37.407310272,77.42910055030488,-40.021790278304884,GDI_TRX10_SS0,804.6782700000002,47.300000000000004,steel,3123.887239990563,561.9797147486224,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,0.0,1782.1217300000003,0.0,537.0872399905624,3423.887239990563,562.0,0.0,3.446450962869206,21.27421615218657,13686.578569258416,2746.957495003702,0.0,0.0,0.0,GDI_TRX10_SS0,4060.5261075000008,191037.2952071879,211531.35737895002,16433.536064262116,215283.27099060555,False,,,,,,,,,
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,487.6068827220119,566.0324499442285,425.3484457931403,313.4174697197228,616.3957022284219,335.1258177990655,6.44234284750848,7.597103100951525,0.0,0.0,399.52176698741334,0.0,399.52176698741334,0.0,5.0,0,13.8,399.52176698741334,0.0,422.15656437603735,0.0,417.15656437603735,0.0,0,403.35656437603734,39.2591257056,78.76101618632255,-39.50189048072255,GDI_TRX10_SS0,833.3181835000001,49.665000000000006,steel,3218.148656335265,578.9371142318882,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,55.45235208333338,1837.5740820833337,0.0,547.2563907519313,3518.148656335265,562.0,0.0,3.446450962869206,21.27421615218657,13910.92201050284,2769.130976964073,0.0,0.0,0.0,GDI_TRX10_SS0,4124.965912875001,191494.2841571879,212299.30305752982,16680.052987466912,215627.62769342482,False,,,,,,,,,
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,445.3271760199819,510.38184051145385,388.36218107524724,293.48664454517444,571.3363261440304,318.692380373459,6.492250138278866,6.463687534765085,0.0,0.0,372.9149519427668,0.0,372.9149519427668,0.0,5.0,0,13.8,372.9149519427668,0.0,386.9244812977324,0.0,381.9244812977324,0.0,0,368.1244812977324,35.64367652571429,71.88145871612042,-36.23778219040613,GDI_TRX10_SS0,505.31140523809535,45.04761904761905,aluminum,2729.2744796618085,490.9898391709143,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,-52.81176388888891,1729.3099661111114,0.0,494.65310831260183,3029.2744796618085,562.0,0.0,3.446450962869206,21.27421615218657,12755.562988237842,2746.957495003702,0.0,0.0,0.0,GDI_TRX10_SS0,4827.088166714286,190602.06763575933,210931.67628571516,15502.520483241544,214930.3215899866,False,,,,,,,,,
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,452.06487070904956,519.2910293256474,394.2615438513177,296.7165380723856,578.5875719791752,321.2550541830349,6.481817882040127,6.64650911907147,0.0,0.0,377.127703984393,0.0,377.127703984393,0.0,5.0,0,13.8,377.127703984393,0.0,392.57562676092545,0.0,387.57562676092545,0.0,0,373.77562676092543,37.407310272,72.98492398384533,-35.57761371184534,GDI_TRX10_SS0,523.0408755000002,47.300000000000004,aluminum,2808.1854033565064,505.18572237079275,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,0.0,1782.1217300000003,0.0,503.0227978565059,3108.1854033565064,562.0,0.0,3.446450962869206,21.27421615218657,12940.496740147266,2746.957495003702,0.0,0.0,0.0,GDI_TRX10_SS0,4917.508465050001,191037.2952071879,211642.25790738888,15687.454235150968,215230.51003904195,False,,,,,,,,,
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,459.19816098175136,528.6997268462735,400.5047044744531,300.114801812992,586.2311935901138,324.00557721598005,6.4719986991838505,6.838901818722175,0.0,0.0,381.6073588198208,0.0,381.6073588198208,0.0,5.0,0,13.8,381.6073588198208,0.0,398.5418932541389,0.0,393.5418932541389,0.0,0,379.7418932541389,39.2591257056,74.14992104437619,-34.890795338776186,GDI_TRX10_SS0,541.6568192750001,49.665000000000006,aluminum,2891.210707987933,520.1217726918112,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,55.45235208333338,1837.5740820833337,0.0,511.979806629599,3191.210707987933,562.0,0.0,3.446450962869206,21.27421615218657,13135.804827702745,2746.957495003702,0.0,0.0,0.0,GDI_TRX10_SS0,5012.4497783025,191494.2841571879,212389.49625819686,15882.762322706447,215547.3709042992,False,,,,,,,,,
6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,442.98461277594544,500.65400717577876,380.09706895469105,305.6272952090057,600.9213969688645,328.956017708369,6.457456217423213,7.170687636898236,0.0,0.0,379.46197829536345,0.0,379.46197829536345,0.0,7.5,0,13.8,379.46197829536345,0.0,388.1003918697689,0.0,380.6003918697689,0.0,0,366.8003918697689,35.64367652571429,71.62291171805856,-35.97923519234427,GDI_TRX10_SS1,777.402161904762,45.04761904761905,steel,3034.334477963773,545.869390722036,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,-52.81176388888891,1729.3099661111114,0.0,527.6223499478999,3334.334477963773,562.0,0.0,3.446450962869206,21.27421615218657,13474.051493851564,3275.375276234625,0.0,0.0,0.0,GDI_TRX10_SS1,3999.154864285714,190602.06763575933,211350.64927013125,16749.42677008619,215411.58748212995,False,,,,,,,,,
7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,450.1288354082344,509.85958409427815,386.1866847536585,309.26100125683917,609.03712916438,332.00368397484397,6.449655130585321,7.378387167071805,0.0,0.0,384.12985957358853,0.0,384.12985957358853,0.0,7.5,0,13.8,384.12985957358853,0.0,394.09278374453754,0.0,386.59278374453754,0.0,0,372.79278374453753,37.407310272,72.79301012509337,-35.38569985309338,GDI_TRX10_SS1,804.6782700000002,47.300000000000004,steel,3123.887239990563,561.9797147486224,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,0.0,1782.1217300000003,0.0,537.0872399905624,3423.887239990563,562.0,0.0,3.446450962869206,21.27421615218657,13686.578569258416,3277.5647725003937,0.0,0.0,0.0,GDI_TRX10_SS1,4060.5261075000008,191037.2952071879,212061.9646564467,16964.14334175881,215716.84010814136,False,,,,,,,,,
8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,457.6761310674114,519.5767031735945,392.6198939587959,313.0685956496791,617.5987769264161,335.22561098304504,6.44234284750848,7.597103100951525,0.0,0.0,389.0608379907426,0.0,389.0608379907426,0.0,7.5,0,13.8,389.0608379907426,0.0,400.4070295574837,0.0,392.9070295574837,0.0,0,379.1070295574837,39.2591257056,74.02595501951251,-34.76682931391251,GDI_TRX10_SS1,833.3181835000001,49.665000000000006,steel,3218.148656335265,578.9371142318882,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,55.45235208333338,1837.5740820833337,0.0,547.2563907519313,3518.148656335265,562.0,0.0,3.446450962869206,21.27421615218657,13910.92201050284,3302.042873708924,0.0,0.0,0.0,GDI_TRX10_SS1,4124.965912875001,191494.2841571879,212832.21495427468,17212.964884211764,216061.00712311728,False,,,,,,,,,
9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,ICE,418.9248720522714,469.5339596167962,359.58990857314313,293.182171346129,573.4969116625838,318.84754724587157,6.492250138278866,6.463687534765085,0.0,0.0,363.8238120835075,0.0,363.8238120835075,0.0,7.5,0,13.8,363.8238120835075,0.0,367.79263414635136,0.0,360.29263414635136,0.0,0,346.49263414635135,35.64367652571429,67.65753771395315,-32.013861188238856,GDI_TRX10_SS1,505.31140523809535,45.04761904761905,aluminum,2729.2744796618085,490.9898391709143,0.0,0.0,5036,712.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:McLaren:McLaren,2020,-52.81176388888891,1729.3099661111114,0.0,494.65310831260183,3029.2744796618085,562.0,0.0,3.446450962869206,21.27421615218657,12755.562988237842,3267.916793525653,0.0,0.0,0.0,GDI_TRX10_SS1,4827.088166714286,190602.06763575933,211452.6355842371,16023.479781763494,215364.781536606,False,,,,,,,,,
