ac_efficiency,ac_leakage,atk2,awd,battery_cost,battery_kwh,battery_mass_lbs,battery_sizing_onroad_direct_kwh_per_mile,bev,cd_ftp_1:cert_direct_oncycle_kwh_per_mile,cd_ftp_2:cert_direct_oncycle_kwh_per_mile,cd_ftp_3:cert_direct_oncycle_kwh_per_mile,cd_ftp_4:cert_direct_oncycle_kwh_per_mile,cd_hwfet:cert_direct_oncycle_kwh_per_mile,cd_us06_1:cert_direct_oncycle_kwh_per_mile,cd_us06_2:cert_direct_oncycle_kwh_per_mile,cegr,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,cert_direct_offcycle_co2e_grams_per_mile,cert_direct_offcycle_kwh_per_mile,cert_direct_oncycle_co2e_grams_per_mile,cert_direct_oncycle_kwh_per_mile,cert_indirect_co2e_grams_per_mile,cert_indirect_offcycle_co2e_grams_per_mile,cost_curve_class,credits_co2e_Mg_per_vehicle,cs_ftp_1:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_2:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_3:cert_direct_oncycle_co2e_grams_per_mile,cs_hwfet:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_1:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_2:cert_direct_oncycle_co2e_grams_per_mile,curbweight_lbs,deac_fc,deac_pd,delta_glider_non_structure_mass_lbs,diesel_fuel,driveline_cost,ecvt,electrified_driveline_cost,emachine_cost,engine_cost,engine_cylinders,engine_displacement_L,etw_lbs,fcv,footprint_ft2,frontier,fwd,gas_fuel,gdi,glider_non_structure_cost,glider_non_structure_mass_lbs,hev,hev_batt_kwh,hev_motor_kw,hev_truck,high_eff_alternator,ice,mhev,model_year,motor_kw,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,nominal_onroad_direct_co2e_grams_per_mile,nominal_onroad_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,onroad_direct_oncycle_co2e_grams_per_mile,onroad_direct_oncycle_kwh_per_mile,phev,powertrain_cost,powertrain_mass_lbs,powertrain_type,rated_hp,rlhp20,rlhp60,start_stop,structure_cost,structure_mass_lbs,structure_material,target_co2e_Mg_per_vehicle,trx10,trx11,trx12,trx21,trx22,turb11,turb12,unibody,vehicle_base_year_id,vehicle_eng_rated_hp,vehicle_id,vehicle_mot_rated_kw,vehicle_name
1,1,1.0,0.0,1313.8765587474168,0.6727227012217584,17.3350319700027,,,,,,,,,,0.0,19.30851284217196,98.88414066172956,112.68414066172956,0.0,7.5,0,120.18414066172956,0.0,0,13.8,PS_DHE_TRXCV,13.105311157828037,137.41462519537833,104.68011461755614,118.92120592622226,126.05884473450344,217.96184773778495,181.28100072820894,2591.7434400498473,0.0,0.0,0.0,0.0,2629.906703318341,1.0,1482.6206222654464,992.3878176229525,4845.858347212925,2.8553214748939038,1.4170564665516507,2891.7434400498473,0.0,40.6,True,1.0,1.0,1.0,9334.304746654318,1560.203028029997,1.0,0.6727227012217584,95.16590662088427,0.0,0.0,0.0,0.0,2020,95.16590662088427,24476.9241608214,26053.392925816497,165.68792379475767,0.0,165.68792379475767,0.0,165.68792379475767,0.0,0.0,9950.773490419666,290.66344004984745,HEV,99.46296056042794,1.6281763510142275,15.147275179818951,1.0,3877.969365,723.5419400000001,steel,32.413824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,5297,20.0,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:PS_DHE_TRXCV:steel:Toyota:Toyota
1,1,1.0,0.0,1464.1319281081348,1.162356506515279,17.3350319700027,,,,,,,,,,0.0,26.774402106245134,137.11898817111773,150.91898817111775,0.0,7.5,0,158.41898817111775,0.0,0,13.8,PS_DHE_TRXCV,8.048979653754863,179.50273414492776,144.58038961694785,157.03561501132137,162.30363565606248,264.2183897741147,222.99895379816925,3323.8729283235552,0.0,0.0,0.0,0.0,2669.980189079318,1.0,1751.3590468870282,1724.3035714065968,7496.5188990488605,4.690260666354675,2.4478864171650665,3623.8729283235552,0.0,44.0,True,1.0,1.0,1.0,17890.43685002216,2207.7193680299974,1.0,1.162356506515279,164.43143524078576,0.0,0.0,0.0,0.0,2020,164.43143524078576,36967.3405845521,38938.56850196926,207.17737529302065,0.0,207.17737529302065,0.0,207.17737529302065,0.0,0.0,13642.161706421803,334.10292832355526,HEV,170.68685522741987,2.0875289266570807,17.81068813199461,1.0,3970.6101000000003,764.7156000000001,steel,34.82338176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,143.0,5298,20.0,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2019.0:5.0:PS_DHE_TRXCV:steel:Toyota:Toyota
1,1,1.0,0.0,1463.4256528162618,1.159527436609339,17.3350319700027,,,,,,,,,,0.0,28.748688011081853,147.2298427312861,161.02984273128612,0.0,7.5,0,168.52984273128612,0.0,0,13.8,PS_DHE_TRXCV,6.074693748918143,191.90525123708534,153.55384363294922,167.20486919394102,172.534426702306,293.3821760262516,238.05723680356445,3621.8305648482656,0.0,0.0,0.0,0.0,2677.265024496599,1.0,1749.8902494249241,1720.0746587136232,7478.621869033885,4.6755543962544985,2.4419209695816244,3921.8305648482656,0.0,44.0,True,1.0,1.0,1.0,19883.125124852868,2405.7193680299974,1.0,1.159527436609339,164.03122815185236,0.0,0.0,0.0,0.0,2020,164.03122815185236,38943.012679338164,41052.60615073621,221.71968775290338,0.0,221.71968775290338,0.0,221.71968775290338,0.0,0.0,13625.851801669032,434.06056484826547,HEV,170.6132358543019,2.3405808366663936,19.152618442838126,1.0,3970.6101000000003,764.7156000000001,steel,34.82338176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,143.0,5299,20.0,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:4.0:0.0:2019:2019.0:5.0:PS_DHE_TRXCV:steel:Toyota:Toyota
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,33.644969789960086,172.30503211016924,186.10503211016925,0.0,5.0,0,191.10503211016925,0.0,0,13.8,GDI_TRX10_SS0,-1.2311457899600882,230.55579804276888,211.97665507928406,201.17328431809625,164.51651333349886,360.9288838240896,229.89640011691108,2354.2080256239615,0.0,0.0,-49.52795101469451,0.0,2746.957495003702,0.0,0.0,0.0,4708.648853389224,2.886724391210891,1.4027035880063041,2654.2080256239615,0.0,39.21711726666666,False,1.0,1.0,1.0,4561.879153144816,1385.7309121783185,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020,0.0,15857.775080409858,18468.374782437182,233.15832528909505,0.0,233.15832528909505,0.0,233.15832528909505,0.0,0.0,7455.6063483929265,261.6817450580361,ICE,102.71921079943192,1.7130069799260497,16.155930877265025,0.0,3840.2895788721153,706.7953683876067,steel,32.413824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,106.0,5300,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2015.0:5.0:GDI_TRX10_SS0:steel:Toyota:Toyota
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,34.08347558167383,174.55073941778224,188.35073941778225,0.0,5.0,0,193.35073941778225,0.0,0,13.8,GDI_TRX10_SS0,-1.4697652431959938,233.65688006275428,215.933699131096,203.87787666132746,165.3079999267691,367.5477361937809,230.63882745585664,2429.348466734217,0.0,0.0,0.0,0.0,2746.957495003702,0.0,0.0,0.0,4826.327973289775,2.9696935567520564,1.442333956362441,2729.348466734217,0.0,41.17797313,False,1.0,1.0,1.0,5007.483648087316,1435.258863193013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020,0.0,16474.486674196516,18710.25238137308,234.98047429741217,0.0,234.98047429741217,0.0,234.98047429741217,0.0,0.0,7573.285468293478,263.5484667342168,ICE,105.99775149165512,1.7130069799260497,16.155930877265025,0.0,3893.717557815721,730.5411368069871,steel,32.61371033847784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,106.0,5300,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2015.0:5.0:GDI_TRX10_SS0:steel:Toyota:Toyota
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,34.55291996736159,176.95489167159124,190.75489167159125,0.0,5.0,0,195.75489167159125,0.0,0,13.8,GDI_TRX10_SS0,-0.3270741919598521,236.97505463649586,220.1092315043679,206.77065169063314,166.19507541502966,374.60159781779856,231.5667150249705,2508.351537776211,0.0,0.0,52.004348565429126,0.0,2746.957495003702,0.0,0.0,0.0,4948.642603574328,3.0559458105905004,1.4841271699718663,2808.351537776211,0.0,43.2368717865,False,1.0,1.0,1.0,5475.368367776941,1487.2632117584421,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020,0.0,17120.78540206148,18964.078329282762,237.00964782380458,0.0,237.00964782380458,0.0,237.00964782380458,0.0,0.0,7695.60009857803,265.6141323704326,ICE,109.44482711956793,1.7130069799260497,16.155930877265025,0.0,3949.816935706507,755.4741936473364,steel,34.22584577540174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,106.0,5300,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2015.0:5.0:GDI_TRX10_SS0:steel:Toyota:Toyota
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,32.237663461722626,165.09783401816324,178.89783401816325,0.0,5.0,0,183.89783401816325,0.0,0,13.8,GDI_TRX10_SS0,0.17616053827737232,220.5808165168254,198.72870075506435,192.46334899593776,162.33945749907156,339.35799448405237,228.732169878593,2100.1351087604,0.0,0.0,-49.52795101469451,0.0,2746.957495003702,0.0,0.0,0.0,4300.470119241093,2.599092184833272,1.2695988398476075,2400.1351087604,0.0,39.21711726666666,False,1.0,1.0,1.0,4561.879153144816,1385.7309121783185,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020,0.0,16202.333413594526,18764.109114337727,228.02689003091297,0.0,228.02689003091297,0.0,228.02689003091297,0.0,0.0,7047.427614244795,254.98720713013705,ICE,91.63345744982398,1.7130069799260497,16.155930877265025,0.0,4593.026646204917,459.41698945194435,aluminum,32.413824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,106.0,5300,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2015.0:5.0:GDI_TRX10_SS0:steel:Toyota:Toyota
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,32.59356585783258,166.9205068923743,180.72050689237432,0.0,5.0,0,185.72050689237432,0.0,0,13.8,GDI_TRX10_SS0,0.02014448064525709,223.10835949784197,202.18133472091134,194.6722496226608,162.82195321840246,344.8782189622532,228.79791207517366,2166.7911681136698,0.0,0.0,0.0,0.0,2746.957495003702,0.0,0.0,0.0,4409.148420680716,2.675647708962175,1.3043817466539798,2466.7911681136698,0.0,41.17797313,False,1.0,1.0,1.0,5007.483648087316,1435.258863193013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020,0.0,16835.333432286898,19016.007725483425,229.19032976429278,0.0,229.19032976429278,0.0,229.19032976429278,0.0,0.0,7156.1059156844185,256.680565996115,ICE,94.54180613322177,1.7130069799260497,16.155930877265025,0.0,4671.743868515162,474.8517389245416,aluminum,32.61371033847784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,106.0,5300,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2015.0:5.0:GDI_TRX10_SS0:steel:Toyota:Toyota
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,32.978518713598866,168.8919550639077,182.6919550639077,0.0,5.0,0,187.6919550639077,0.0,0,13.8,GDI_TRX10_SS0,1.2473270618028707,225.83777560573185,205.82819443689115,197.05594918652213,163.40225998714703,350.79210597100223,229.06537888577415,2236.833398918114,0.0,0.0,52.004348565429126,0.0,2746.957495003702,0.0,0.0,0.0,4522.105821445377,2.7552396347469386,1.3410377316765676,2536.833398918114,0.0,43.2368717865,False,1.0,1.0,1.0,5475.368367776941,1487.2632117584421,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020,0.0,17498.82863616694,19280.792979346264,230.56397253685014,0.0,230.56397253685014,0.0,230.56397253685014,0.0,0.0,7269.063316449079,258.51196128890325,ICE,97.5979008336709,1.7130069799260497,16.155930877265025,0.0,4754.39695194092,491.0582258707687,aluminum,34.22584577540174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,106.0,5300,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2015.0:5.0:GDI_TRX10_SS0:steel:Toyota:Toyota
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,31.882605964846448,163.2794881024994,177.07948810249943,0.0,7.5,0,184.57948810249943,0.0,0,13.8,GDI_TRX10_SS1,0.5312180351535503,221.91956433293745,197.73271803066353,191.77083868847026,164.3782044971247,361.0189973146901,229.90386997082223,2354.2080256239615,0.0,0.0,-49.52795101469451,0.0,3258.7467067305042,0.0,0.0,0.0,4708.648853389224,2.886724391210891,1.4027035880063041,2654.2080256239615,0.0,39.21711726666666,False,1.0,1.0,1.0,4561.879153144816,1385.7309121783185,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020,0.0,16369.56429213666,18950.073952123697,229.9958417034672,0.0,229.9958417034672,0.0,229.9958417034672,0.0,0.0,7967.3955601197285,261.6817450580361,ICE,102.71921079943192,1.7130069799260497,16.155930877265025,1.0,3840.2895788721153,706.7953683876067,steel,32.413824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,106.0,5300,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2015.0:5.0:GDI_TRX10_SS0:steel:Toyota:Toyota
