input_template_name:,ghg_credit_history,input_template_version:,0.21
calendar_year,model_year,compliance_id,balance_Mg
2021,2018,consolidated_OEM,18683099
2021,2019,consolidated_OEM,55521244
2021,2020,consolidated_OEM,23582373
2021,2021,consolidated_OEM,32998030
2021,2020,Aston Martin Lagonda,8256
2021,2021,Aston Martin Lagonda,3296
2021,2018,BMW,3498823
2021,2019,BMW,420467
2021,2020,BMW,117904
2021,2021,BMW,582705
2021,2018,FCA,3046286
2021,2019,FCA,22986303
2021,2020,FCA,8443887
2021,2021,FCA,12000000
2021,2018,Ferrari,8180
2021,2019,Ferrari,4192
2021,2020,Ford,1854402
2021,2021,Ford,2118166
2021,2018,General Motors,2170666
2021,2019,General Motors,5584902
2021,2020,General Motors,5100000
2021,2018,Honda,4938779
2021,2019,Honda,14658284
2021,2020,Honda,2868950
2021,2021,Honda,4005904
2021,2019,JLR,46790
2021,2021,JLR,1830286
2021,2021,Kia,-373938
2021,2018,Mazda,181564
2021,2019,Mazda,164942
2021,2021,Mercedes Benz,-783850
2021,2018,Mitsubishi,170465
2021,2019,Mitsubishi,251774
2021,2020,Mitsubishi,48852
2021,2021,Mitsubishi,476697
2021,2018,Nissan,651685
2021,2021,Nissan,1400000
2021,2018,Subaru,3172408
2021,2019,Subaru,5822837
2021,2020,Subaru,3041737
2021,2021,Subaru,2859900
2021,2018,Tesla,1766
2021,2019,Tesla,53704
2021,2020,Tesla,208003
2021,2021,Tesla,3296574
2021,2018,Toyota,1944036
2021,2019,Toyota,3722735
2021,2020,Toyota,1666470
2021,2021,Toyota,2592586
2021,2019,VW,691158
2021,2021,VW,1000000
2021,2018,Volvo,78996
2021,2019,Volvo,1095257
2021,2020,Volvo,215898
2021,2021,Volvo,831916
