input_template_name:,vehicle_price_modifications,input_template_version:,0.2,notes:,20230314 3750 to 6kUSD purchase incentive for BEVs with phase in 23-32 and 2033 expiration
start_year,sedan_wagon.BEV:price_modification_dollars,cuv_suv_van.BEV:price_modification_dollars,pickup.BEV:price_modification_dollars,,
2020,0,0,0,,
2023,-3750,-3750,-3750,,
2024,-4000,-4000,-4000,,
2025,-4250,-4250,-4250,,
2026,-4500,-4500,-4500,,
2027,-4750,-4750,-4750,,
2028,-5000,-5000,-5000,,
2029,-5250,-5250,-5250,,
2030,-5500,-5500,-5500,,
2031,-5750,-5750,-5750,,
2032,-6000,-6000,-6000,,
2033,0,0,0,,
